,1_P1-100-3,1_P1-20-3,1_P1-200-3,1_P1-300-3,1_P1-40-3,1_P1-60-3,2_P1-100-3,2_P1-20-3,2_P1-200-3,2_P1-300-3,2_P1-40-3,2_P1-60-3,3_P1-20-3,3_P1-200-3,3_P1-300-3,3_P1-40-3,3_P1-60-3,4_P1-90-3,4_P1-20-3,4_P1-100-3,4_P1-200-3,4_P1-40-3,4_P1-60-3,4_P1-300-3,5_P1-20-3,3_P1-90-3,5_P1-100-3,5_P1-200-3,5_P1-300-3,5_P1-40-3,5_P1-90-3,6_P1-100-3,6_P1-20-3,6_P1-200-3,6_P1-40-3,6_P1-60-3,6_P1-300-3,7_P1-20-3,7_P1-40-3,7_P1-60-3,10_P1-20-3,10_P1-40-3,7_P1-105-3,7_P1-200-3,7_P1-300-3,8_P1-100-3,8_P1-115-3,8_P1-20-3,8_P1-200-3,8_P1-250-3,8_P1-40-3,8_P1-60-3,9_P1-100-3,9_P1-120-3,9_P1-20-3,9_P1-200-3,9_P1-40-3,9_P1-500-3,9_P1-60-3,10_P1-100-3,10_P1-120-3,10_P1-200-3,10_P1-500-3,10_P1-60-3,11_P1-100-3,11_P1-20-3,11_P1-200-3,11_P1-40-3,11_P1-500-3,11_P1-60-3,11_P1-70-3,12_P1-100-3,12_P1-20-3,12_P1-200-3,12_P1-40-3,12_P1-500-3,12_P1-60-3,13_P1-100-3,13_P1-20-3,13_P1-200-3,13_P1-40-3,13_P1-500-3,13_P1-60-3,14_P1-100-3,14_P1-20-3,14_P1-200-3,14_P1-40-3,14_P1-500-3,14_P1-60-3,15_P1-100-3,15_P1-20-3,15_P1-200-3,15_P1-40-3,15_P1-500-3,15_P1-60-3,16_P1-20-3,16_P1-100-3,16_P1-200-3,16_P1-40-3,16_P1-500-3,16_P1-60-3,17_P1-100-3,17_P1-20-3,17_P1-40-3,17_P1-500-3,17_P1-60-3,18_P1-100-3,18_P1-20-3,18_P1-200-3,18_P1-40-3,18_P1-500-3,18_P1-60-3,19_P1-100-3,19_P1-20-3,19_P1-200-3,19_P1-40-3,19_P1-500-3,19_P1-60-3,12_P2-100-3,12_P2-20-3,12_P2-200-3,12_P2-300-3,12_P2-40-3,12_P2-60-3,15_P2-100-3,15_P2-20-3,15_P2-200-3,15_P2-300-3,15_P2-40-3,15_P2-60-3,17_P2-100-3,17_P2-20-3,17_P2-200-3,17_P2-300-3,17_P2-40-3,17_P2-60-3,6_P2-100-3,6_P2-20-3,6_P2-200-3,6_P2-300-3,6_P2-40-3,6_P2-60-3,8_P2-20-3,8_P2-200-3,8_P2-300-3,8_P2-40-3,8_P2-60-3,18_P2-100-3,18_P2-20-3,18_P2-200-3,18_P2-300-3,18_P2-40-3,18_P2-60-3,20_P2-100-3,20_P2-20-3,20_P2-200-3,20_P2-300-3,20_P2-40-3,20_P2-60-3
4_P1-300-3,0.99,1,0.39,0.93,1,1,0.99,1,0.51,0.91,1,1,0.98,0.44,-0.75,0.89,0.99,0.97,0.88,0.95,-0.21,0.99,0.55,0,0.5,0.84,0.57,-0.8,-0.84,0.53,0.87,-0.11,1,-0.25,0.97,0.97,-0.99,0.98,0.95,0.9,0.49,0.99,0.58,-0.56,-0.7,0.9,0.99,0.91,-0.73,-0.49,0.97,0.69,0.98,0.97,0.95,0.49,0.96,-0.07,-0.06,0.96,0.99,0.91,0.05,0.95,0.97,0.95,0.94,0.99,0.29,0.84,0.99,1,1,1,0.99,0.23,1,0.99,0.99,0.94,1,-0.07,0.94,0.92,1,0.46,1,0.77,1,0.89,0.96,0.68,1,-0.11,0.96,1,0.98,0.79,0.84,0.62,1,0.98,0.96,0.99,0.5,0.39,0.74,0.99,0.89,0.99,0.5,0.94,0.41,0.99,0.9,0.97,0.05,1,0.96,0.98,-0.71,0.28,0.96,0.99,0.58,0.99,0.38,0.56,0.99,0.94,0.99,0.89,0.75,-0.17,0.96,0.99,1,0.93,0.91,-0.13,0.92,0.12,0.87,0.93,0.53,0.98,0.99,0.87,0.94,0.47,0.69,0.96,0.88,0.97,0.92,-0.33,0.46,1,0.83
5_P1-20-3,1,1,0.91,1,0.76,1,0.98,0.74,0.99,1,0.5,1,-0.49,1,0.2,0.79,0.97,1,-1,1,1,0.03,0.02,0.5,0,0.99,0.89,0.57,0.77,-1,-0.61,0.73,0.74,0.95,0.01,0.97,-0.62,-0.25,-0.32,0.2,-0.19,0.56,0.86,0.16,-0.86,-0.72,0.92,-0.96,1,0.31,-0.09,-0.75,0.58,0.87,-0.45,0.9,0.12,0.94,0.48,0.99,1,1,0.62,0.52,0.98,0.97,0.99,1,1,0.91,1,1,1,1,1,1,1,1,1,0.99,1,0.75,1,1,1,1,1,0.89,1,0.76,0.99,0.96,1,0.7,1,1,1,1,0.94,0.99,1,1,1,1,0.92,0.75,0.95,1,0.99,1,0.99,0.94,0.69,1,0.99,1,0.08,1,1,1,-0.04,0.93,1,1,0.94,1,0.91,0.97,1,1,1,1,0.99,0.49,1,1,1,0.99,1,0.65,1,0.92,0.99,1,1,1,1,0.99,1,0.97,1,1,1,1,1,0.47,0.99,1,1
3_P1-90-3,0.75,1,0.95,1,0.98,0.94,-0.57,0.99,0.97,1,0.98,0.99,0.96,0.87,0.47,0.92,0.7,-0.7,0.87,-0.84,0.95,0.99,0.37,0.84,0.99,0,-0.75,0.93,0.87,0.98,0.67,0.09,0.96,0.92,0.54,-0.29,0.6,0.98,0.95,0.94,0.97,0.99,-0.83,0.77,0.56,0.81,0.25,0.83,0.93,0.71,0.99,0.83,0.08,0.01,0.95,0.98,0.91,0.86,0.59,0.81,0.4,0.99,0.63,0.98,0.93,0.98,1,0.99,0.97,0.75,0.9,1,1,1,1,0.99,1,1,1,1,1,0.99,1,1,1,1,1,0.99,1,0.99,1,0.98,1,0.94,1,1,1,1,0.97,0.93,1,1,1,1,0.98,0.87,0.98,1,1,1,1,0.99,0.86,1,1,1,0.91,1,1,1,0.98,0.97,1,0.99,0.99,1,1,1,1,1,1,1,1,1,1,1,0.92,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1
5_P1-100-3,0.88,1,0.98,1,1,0.99,0.41,1,0.99,1,0.99,1,0.95,0.93,0.62,0.88,0.65,-0.89,0.7,-0.68,0.88,0.96,-0.13,0.57,0.89,-0.75,0,0.59,0.01,0.85,0.66,-0.25,0.81,0.91,0.24,-0.79,0.27,0.96,0.84,0.74,0.93,0.98,-0.74,0.86,0.12,0.58,0.34,0.72,0.6,0.21,0.97,0.72,-0.02,0.26,0.9,0.83,0.82,0.17,0.61,0.81,0.14,0.94,0.56,0.86,0.91,0.96,1,0.94,0.84,0.54,0.91,1,1,1,0.99,0.96,0.99,0.99,1,1,1,0.88,1,0.98,1,0.98,1,0.92,1,0.92,0.98,0.87,1,0.72,0.98,1,0.99,0.98,0.79,0.91,1,0.99,0.97,0.99,0.83,0.43,0.8,1,0.99,0.98,0.94,0.96,0.47,0.99,1,0.97,0.61,1,1,1,0.85,0.65,0.99,0.99,0.93,0.99,0.99,0.93,0.98,0.99,1,0.99,0.98,0.95,0.98,1,0.89,0.98,0.97,0.86,0.98,0.94,0.98,0.99,0.98,1,0.99,1,0.99,0.99,0.98,0.92,1,0.99,1,0.89,0.85,1,1
5_P1-200-3,0.99,1,0.33,0.97,1,1,1,1,-0.33,0.96,1,1,0.99,0.79,-0.29,0.77,1,0.98,0.92,0.98,0.21,1,0.83,-0.8,0.57,0.93,0.59,0,-0.99,0,0.88,0.05,1,0.2,0.97,0.99,-0.98,0.99,0.97,0.87,0.13,1,0.64,-0.07,-0.56,0.94,1,0.9,0.52,-0.16,0.99,0.81,0.98,0.98,0.96,0.46,0.97,0.16,0.18,0.97,0.98,0.85,0.11,0.94,0.98,0.96,0.96,0.99,0.68,0.79,0.99,1,1,1,0.98,0.53,1,0.98,0.99,0.95,1,-0.39,0.96,0.93,1,-0.54,1,0.7,1,0.81,0.96,0.8,1,-0.02,0.94,1,0.98,0.87,0.77,0.77,1,0.98,0.96,0.99,0.59,0.4,0.75,0.99,0.92,0.98,0.57,0.91,0.35,0.99,0.89,0.95,-0.11,1,0.94,1,-0.84,0.46,0.98,1,0.59,0.99,-0.02,0.74,0.99,0.95,0.99,0.96,0.81,-0.47,0.97,1,1,0.98,0.93,-0.12,0.98,-0.01,0.95,0.97,0.86,0.99,1,0.93,0.97,-0.28,0.81,0.95,0.92,0.97,0.92,-0.88,0.69,1,0.13
5_P1-300-3,0.97,0.98,-0.1,0.94,0.99,1,0.97,1,-0.78,0.91,1,1,0.99,0.57,-0.85,0.87,1,0.99,0.91,1,0.48,1,0.29,-0.84,0.77,0.87,0.01,-0.99,0,0.63,0.65,-0.2,0.98,-0.28,0.96,1,-1,0.98,0.95,0.87,0.02,1,0.06,-0.43,-1,0.77,0.98,0.78,0.64,-0.74,1,0.39,0.96,0.92,0.84,0.15,0.96,-0.22,-0.06,0.93,0.84,0.78,-0.42,0.89,0.85,0.99,0.47,0.99,0.4,0.43,0.93,1,1,0.94,0.98,0.37,1,0.65,0.94,0.53,0.99,-0.64,0.82,0.89,0.99,-0.31,0.99,-0.31,1,-0.02,0.69,0.2,0.98,-0.34,0.89,1,0.62,0.64,0.61,0.59,1,0.94,0.94,0.88,0.24,0.22,0.55,0.98,0.5,0.88,0.71,0.28,0.13,0.91,0.48,0.85,-0.79,0.97,0.98,0.99,-0.83,0.54,0.95,0.98,0.48,1,-0.56,0.01,0.99,0.93,0.97,0.84,0.66,-0.88,0.85,0.99,1,0.92,0.97,-0.25,0.98,0.52,0.96,0.99,0.97,1,1,0.64,0.9,-0.62,0.47,0.82,0.92,0.82,0.98,-1,0.4,1,0.61
5_P1-40-3,1,1,0.9,1,0.7,0.99,0.99,0.54,0.91,1,0.23,1,-0.35,1,-0.36,0.7,0.98,1,-1,1,1,-0.47,-0.18,0.53,-1,0.98,0.85,0,0.63,0,-1,0.75,0.49,0.95,-0.43,0.96,-0.55,-0.07,-0.58,0.13,-0.39,0.84,0.84,0.09,-0.57,-0.95,0.86,-1,1,0.35,0.49,-0.85,0.35,0.87,-0.57,0.92,0.11,0.94,0.53,0.99,0.99,1,0.5,0.57,0.98,0.99,0.98,1,0.99,0.91,1,1,1,1,1,0.99,1,1,1,1,1,0.65,1,1,1,0.99,1,0.93,1,0.67,0.99,0.95,1,0.65,1,1,1,1,0.96,0.99,1,1,1,1,0.93,0.84,0.98,1,0.99,1,1,0.95,0.77,1,0.99,1,0.05,1,1,1,-0.09,0.92,1,1,0.95,1,0.75,0.94,1,1,1,1,0.97,0.11,1,1,0.99,1,1,0.48,1,0.89,1,1,1,1,0.99,1,1,0.94,0.99,1,1,1,1,-0.04,0.99,1,1
5_P1-90-3,0.97,0.99,0.96,1,0.93,0.99,0.86,0.85,0.99,1,0.75,0.94,0.38,0.97,0.59,0.66,0.2,0.82,-0.94,0.97,0.97,-0.38,-0.78,0.87,-0.61,0.67,0.66,0.88,0.65,-1,0,0.79,-0.32,0.89,-0.83,-0.45,0.52,-0.87,-0.29,-0.06,0.7,0.43,0.41,0.74,-0.03,-0.22,0.09,-0.13,0.95,0.38,-0.12,0.01,0.72,0.51,0.07,0.93,0.25,0.64,0.12,0.83,0.97,0.99,0.2,0.59,0.96,0.9,0.98,0.94,0.96,0.78,0.98,1,0.99,1,0.97,0.98,0.99,0.99,0.99,1,1,0.92,1,0.96,1,1,1,0.91,1,0.8,0.96,0.87,1,0.71,0.95,1,0.99,0.99,0.69,0.88,1,1,0.98,0.99,0.86,0.42,0.83,1,1,0.99,0.98,0.93,0.49,0.99,1,0.98,0.55,1,1,1,0.9,0.91,0.98,1,0.97,0.98,1,0.98,0.99,1,1,1,1,0.98,1,1,0.98,0.96,1,0.94,0.98,0.91,0.98,1,1,0.99,0.99,1,1,1,1,1,1,1,1,0.94,1,1,1
6_P1-100-3,0.92,1,0.67,0.99,1,1,0.84,1,0.72,0.99,1,1,0.99,0.92,-0.04,0.9,0.99,0.63,0.89,0.18,0,0.99,0.24,-0.11,0.73,0.09,-0.25,0.05,-0.2,0.75,0.79,0,0.95,0.42,0.51,0.17,-0.73,0.97,0.88,0.7,0.42,0.98,-0.31,0.16,-0.71,0.66,0.63,0.68,0.55,-0.37,0.93,0.42,0.59,0.47,0.82,0.51,0.83,0.4,-0.09,0.7,0.69,0.82,-0.09,0.94,0.8,0.88,0.92,0.92,0.72,0.54,0.9,0.99,0.97,0.98,0.94,0.57,0.98,0.94,0.98,0.89,0.99,0.17,0.91,0.89,1,0.59,0.99,0.5,0.99,0.51,0.84,0.54,0.99,-0.26,0.93,1,0.91,0.71,0.65,0.61,1,0.94,0.91,0.95,0.32,0.09,0.5,0.97,0.86,0.92,0.45,0.76,0.05,0.98,0.86,0.95,-0.29,1,0.98,0.99,-0.3,0.44,0.97,0.97,0.64,0.99,0.73,0.76,0.98,0.96,0.99,0.95,0.88,0.39,0.98,0.99,0.95,0.9,0.93,0.16,0.97,0.29,0.94,0.9,0.87,0.99,0.99,0.97,0.97,0.79,0.83,0.98,0.97,0.99,0.96,0.17,0.77,1,0.94
6_P1-20-3,0.84,0.93,0.93,0.99,0.94,0.99,0.97,0.98,1,1,0.82,0.97,0.91,1,1,0.98,0.96,0.92,-0.71,0.99,1,-0.03,-0.17,1,0.74,0.96,0.81,1,0.98,0.49,-0.32,0.95,0,0.97,-1,0.1,0.8,0.35,0.5,0.89,0.97,0.94,0.91,0.98,0.93,0.71,0.6,0.61,1,0.87,0.72,0.64,0.95,0.86,0.83,0.99,0.83,0.93,0.84,0.98,1,1,0.86,0.97,0.99,0.98,1,0.98,1,0.89,0.99,1,1,1,0.99,1,1,1,1,1,1,1,1,0.98,1,1,1,0.93,1,0.98,1,0.96,1,0.95,0.99,1,1,1,0.93,1,1,1,1,1,0.99,0.88,0.95,1,1,1,0.98,0.99,0.9,1,1,1,0.88,1,1,1,0.99,1,1,1,0.99,0.99,1,1,0.99,1,1,1,1,1,1,1,0.96,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,0.99,1
6_P1-200-3,0.69,0.98,0.19,0.28,1,1,1,1,0.77,0.41,1,1,1,0.19,-0.21,0.99,1,1,0.96,1,-0.39,1,0.78,-0.25,0.95,0.92,0.91,0.2,-0.28,0.95,0.89,0.42,0.97,0,0.99,0.99,-0.24,0.86,0.86,0.9,0.89,0.97,0.24,-0.64,-0.85,0.87,0.99,0.83,-1,-0.64,0.92,0.46,0.97,0.5,0.93,-0.48,0.89,-0.9,-0.56,0.8,0.99,-0.19,-0.61,0.96,0.9,0.96,0.5,0.98,-0.4,0.66,0.98,1,0.99,0.99,0.96,-0.66,1,0.94,0.97,0.88,1,0.54,0.98,0.43,1,0.87,1,0.08,0.99,0.45,0.89,0.26,1,0.09,0.63,1,0.92,0.74,0.84,0.47,1,0.97,0.91,0.97,0.56,0.18,0.54,0.99,0.91,0.95,0.5,0.74,0.14,0.99,0.94,0.98,-0.16,1,1,1,0.5,0.46,0.99,1,0.76,1,0.98,0.95,1,1,1,1,0.99,0.92,1,1,1,0.99,0.97,0.6,1,0.92,0.98,0.97,0.77,1,1,1,1,0.96,0.96,0.99,1,1,1,0.86,0.87,1,1
6_P1-40-3,0.96,1,1,1,1,0.96,0.9,0.85,1,1,0.7,0.98,0.69,1,0.97,0.66,0.61,-0.03,-0.66,0.53,1,-0.19,-0.72,0.97,0.01,0.54,0.24,0.97,0.96,-0.43,-0.83,0.51,-1,0.99,0,-1,0.63,-0.22,-0.39,-0.09,0.79,0.73,0.31,0.99,0.66,0.14,-0.36,0.08,1,0.63,0.3,0.25,0.4,0.56,0.62,0.99,0.4,0.96,0.84,0.92,0.89,1,0.85,0.82,0.98,0.92,1,0.83,1,0.86,0.92,1,0.99,1,0.97,1,0.98,0.99,1,1,1,0.98,1,1,1,1,1,0.97,1,0.97,0.99,0.98,1,0.87,1,1,1,1,0.87,0.98,1,1,0.99,0.99,0.93,0.6,0.87,1,1,0.99,0.99,0.98,0.66,1,1,0.98,0.7,1,1,1,0.96,0.91,0.99,0.99,0.98,0.95,1,0.98,0.96,0.99,1,1,1,0.99,0.99,1,0.87,0.99,1,0.94,0.99,0.98,1,1,1,0.99,0.97,1,1,1,1,1,1,1,1,0.95,1,0.99,1
6_P1-60-3,1,1,1,1,1,1,0.71,1,1,1,1,1,0.99,1,0.92,1,1,-0.01,-0.74,0.43,1,0.85,-0.96,0.97,0.97,-0.29,-0.79,0.99,1,0.96,-0.45,0.17,0.1,0.99,-1,0,0.83,0.96,0.88,0.99,0.99,1,-0.23,0.96,-0.1,0.71,0.42,0.84,1,0.55,0.99,0.76,0.73,0.96,0.94,0.97,0.98,0.99,0.94,1,0.89,1,0.85,1,0.97,1,1,1,1,0.87,0.99,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,0.98,1,0.88,1,0.98,1,0.94,1,1,1,1,0.99,1,1,1,1,1,0.99,0.85,0.99,1,1,1,1,0.98,0.85,1,1,1,0.62,1,1,1,0.98,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6_P1-300-3,0.87,0.67,-0.03,0.77,0.97,1,0.92,0.83,-0.6,0.89,0.94,1,0.68,0.46,-0.76,-0.14,0.97,0.78,0.34,0.54,-0.16,0.82,0.62,-0.99,-0.62,0.6,0.27,-0.98,-1,-0.55,0.52,-0.73,0.8,-0.24,0.63,0.83,0,0.81,0.64,-0.18,-0.82,0.83,0,-0.92,-0.89,0.56,0.79,0.26,-0.02,-0.82,0.54,0.13,0.68,0.69,0.48,0.22,0.43,-0.26,-0.77,0.28,0.75,0.77,-0.67,0.71,0.76,0.25,0.77,0.63,0.19,0.55,0.89,0.67,0.77,0.8,0.59,-0.53,0.69,0.65,0.77,-0.02,0.82,-0.96,0.03,0.45,0.85,-0.91,0.38,-0.13,0.61,0.19,0.34,0.19,0.71,-0.96,0.45,0.88,0.6,-0.11,0.13,0.01,0.93,0.41,0.49,0.62,-0.54,-0.3,-0.18,0.65,-0.18,0.52,-0.81,0.28,-0.55,0.66,-0.08,0.56,-0.71,0.86,0.37,0.91,-0.83,-0.07,0.79,0.94,0.13,0.93,-0.47,-0.25,0.91,0.5,0.64,0.23,-0.3,-0.75,0.72,0.7,0.96,0.44,0.67,-0.6,0.67,-0.77,0.62,0.89,0.67,0.78,0.97,0.11,0.54,-0.63,-0.39,0.69,0.13,0.54,0.02,-0.88,-0.64,0.87,-0.34
7_P1-20-3,1,1,0.98,1,-0.12,0.93,0.99,-0.92,1,1,-0.93,0.98,-1,1,0.89,-0.17,0.55,1,-0.84,1,0.99,0.28,0.12,0.98,-0.25,0.98,0.96,0.99,0.98,-0.07,-0.87,0.97,0.35,0.86,-0.22,0.96,0.81,0,-1,-1,-0.47,-0.99,0.5,0.09,-0.64,-1,0.88,-1,1,-0.8,-1,-1,-0.19,-0.17,-0.99,0.12,-1,0.44,0.02,0.66,0.99,0.84,-0.1,-0.98,0.92,0.99,0.27,1,0.55,0.9,1,1,1,1,1,0.55,1,0.99,1,0.96,1,0.87,1,0.97,1,1,1,0.58,1,0.6,0.93,0.49,1,-0.05,0.99,1,0.97,0.98,0.95,0.95,1,0.9,0.97,1,0.34,0.13,0.19,1,0.98,0.99,0.92,0.78,0.1,1,0.98,1,-0.07,1,1,1,0.99,0.91,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1
7_P1-40-3,1,0.95,1,1,-0.53,0.53,0.95,-0.72,1,1,-0.95,0.75,-0.98,1,0.91,-0.5,-0.56,0.99,-0.78,1,0.99,0.59,0.24,0.95,-0.32,0.95,0.84,0.97,0.95,-0.58,-0.29,0.88,0.5,0.86,-0.39,0.88,0.64,-1,0,-1,-0.53,-1,0.64,0.12,-0.34,-1,0.72,-1,1,0.03,-1,-1,-0.66,-0.6,-0.99,0.72,-1,0.83,0.3,0.88,0.95,1,0.55,-0.95,0.9,0.87,0.97,0.97,0.99,0.88,0.99,1,1,1,1,0.99,1,0.98,1,0.99,1,0.93,1,0.99,1,1,1,0.85,1,0.52,0.95,0.86,1,0.78,1,1,0.97,0.99,0.87,0.97,1,1,0.99,0.99,0.88,0.46,0.82,1,0.99,0.98,0.99,0.79,0.46,1,1,0.99,0.2,1,1,1,0.98,0.89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,0.94,1,0.99,0.99,1,1,1,0.99,1,1,1,1,1,1,1,1,0.99,1,1,1
7_P1-60-3,1,0.99,0.97,1,0,0.89,0.96,-0.58,1,1,-0.71,0.88,-0.88,1,0.68,-0.51,-0.35,1,-0.28,1,0.99,0.93,0.14,0.9,0.2,0.94,0.74,0.87,0.87,0.13,-0.06,0.7,0.89,0.9,-0.09,0.99,-0.18,-1,-1,0,-0.59,-0.89,0.35,-0.25,-0.92,-0.99,0.9,-1,1,-0.3,-0.99,-1,-0.57,-0.18,-0.92,0.74,-1,0.76,0.11,0.9,0.97,1,0.1,-0.96,0.91,0.95,0.95,1,0.99,0.86,1,1,1,1,1,0.98,1,1,1,0.97,1,0.77,1,1,1,1,1,0.78,1,0.5,0.94,0.83,1,0.55,0.99,1,0.98,0.98,0.96,0.97,1,1,0.99,1,0.81,0.53,0.84,1,0.98,0.99,0.98,0.87,0.43,1,0.97,0.99,-0.31,1,1,1,0.72,0.95,1,1,0.97,1,0.99,0.99,1,1,1,1,1,0.9,1,1,1,1,1,0.93,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,0.89,1,1,1
10_P1-20-3,1,0.21,0.69,1,-0.6,0.52,0.96,0.07,0.71,1,-0.4,0.98,-0.61,1,0.33,-0.23,0.73,1,0.39,1,0.97,0.92,0.93,0.49,-0.19,0.97,0.93,0.13,0.02,-0.39,0.7,0.42,0.97,0.89,0.79,0.99,-0.82,-0.47,-0.53,-0.59,0,-0.49,0.81,-0.19,-0.53,-0.68,0.88,-0.97,0.93,-0.35,-0.46,-0.83,-0.48,-0.17,-0.82,0.86,-0.85,0.66,-0.59,0.22,0.89,0.97,-0.07,-0.42,0.93,-0.03,0.72,0.94,0.83,0.83,0.98,1,0.98,0.96,0.87,0.75,0.98,0.43,0.96,0.57,0.97,-0.39,0.74,0.78,0.97,0.41,0.95,-0.29,0.99,-0.09,0.41,0.37,0.96,-0.45,0.92,0.99,0.55,0.6,0.52,0.62,0.99,0.8,0.77,0.62,0.02,-0.17,0.15,0.91,0.49,0.65,0.34,-0.11,-0.03,0.69,0.31,0.74,-0.82,0.95,1,1,-0.42,0.88,0.94,0.99,0.51,0.99,0.41,0.64,0.99,0.92,0.98,0.86,0.55,-0.36,0.78,0.97,0.99,0.77,0.99,0.32,0.97,0.17,0.98,1,1,0.99,0.99,0.77,0.92,0.32,0.81,0.96,0.89,0.95,0.95,-0.41,0.8,0.99,0.8
10_P1-40-3,1,0.99,1,1,-0.77,0.74,0.98,-0.94,1,1,-0.99,0.49,-1,1,0.97,-0.21,-0.39,1,-0.04,1,1,0.86,0.8,0.99,0.56,0.99,0.98,1,1,0.84,0.43,0.98,0.94,0.97,0.73,1,0.83,-0.99,-1,-0.89,-0.49,0,0.93,0.48,-0.06,-0.99,0.89,-1,1,-0.25,-1,-1,-0.42,-0.03,-1,0.78,-1,0.96,0.58,0.96,0.99,1,0.37,-1,0.93,0.99,0.89,0.99,0.99,0.9,1,1,1,1,1,1,1,0.98,1,0.98,1,0.89,1,0.99,1,1,1,0.72,1,0.37,0.9,0.64,1,0.63,1,1,0.96,0.97,0.93,0.95,1,1,1,0.99,0.83,0.57,0.85,1,0.97,0.99,0.99,0.75,0.4,1,0.98,0.99,-0.08,1,1,1,0.99,0.99,0.99,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,0.99,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1
7_P1-105-3,0.54,1,0.81,1,0.99,0.94,-0.06,1,0.91,1,0.98,1,0.97,0.88,0.43,0.89,0.84,-0.23,0.71,-0.05,0.74,0.97,-0.16,0.58,0.86,-0.83,-0.74,0.64,0.06,0.84,0.41,-0.31,0.91,0.24,0.31,-0.23,0,0.5,0.64,0.35,0.81,0.93,0,0.17,-0.78,0.42,-0.34,0.58,0.53,-0.36,0.87,0.22,-0.34,-0.84,0.73,0.39,0.76,-0.21,-0.28,0.15,-0.49,0.66,-0.23,0.81,0.46,0.65,0.86,0.85,0.64,-0.24,0.2,1,0.98,0.97,0.95,0.68,0.98,0.91,0.98,0.97,1,0.8,0.99,0.91,1,0.98,1,0.73,1,0.67,0.95,0.76,0.99,0.5,0.9,1,0.97,0.95,0.61,0.79,1,0.99,0.96,0.98,0.74,0.34,0.72,0.99,0.98,0.97,0.93,0.83,0.35,0.98,0.99,0.95,0.23,1,1,0.97,0.72,0.51,0.95,0.92,0.85,1,0.99,0.96,0.99,0.99,1,1,0.99,0.95,0.99,1,0.73,0.97,0.99,0.69,0.99,0.92,0.93,0.98,0.99,0.99,0.95,0.99,0.99,0.97,0.98,0.97,1,1,1,0.82,0.94,1,1
7_P1-200-3,0.97,0.91,0.27,0.96,0.94,1,0.97,0.98,0.89,0.96,0.87,1,0.81,0.7,-0.1,0.82,0.95,0.99,0.9,0.98,0.18,1,0.82,-0.56,0.16,0.77,0.86,-0.07,-0.43,0.09,0.74,0.16,0.98,-0.64,0.99,0.96,-0.92,0.09,0.12,-0.25,-0.19,0.48,0.17,0,-0.91,0.03,0.92,-0.17,-0.84,-0.85,0.1,-0.64,0.45,-0.06,0.24,-0.03,0.04,-0.75,-0.95,0.09,0.89,0.69,-0.69,0.4,0.83,0.38,0.72,0.95,-0.01,0.65,0.97,0.99,0.97,0.99,0.9,-0.28,0.99,0.95,0.95,0.83,0.99,0.06,0.91,0.6,1,0.52,1,0.12,0.98,0.39,0.81,0.19,0.99,-0.34,0.7,1,0.91,0.57,0.8,0.21,1,0.92,0.86,0.95,0.24,-0.02,0.31,0.98,0.82,0.91,0.27,0.68,-0.06,0.99,0.83,0.96,-0.52,1,1,1,0.12,0.52,0.99,1,0.81,1,0.92,0.89,1,0.99,1,0.99,0.96,0.75,1,1,1,0.9,0.99,0.45,1,0.71,0.96,0.99,0.87,1,1,0.99,0.99,0.8,0.9,0.99,0.98,0.99,0.99,0.42,0.76,1,0.99
